*, CJ1
457, 1.000
458, 1.000
459, 1.000
460, 0.200
461, 1.000
462, 1.000
463, 0.000
464, 0.000
465, 1.000
466, 1.000
467, 1.000
468, 1.000
469, 1.000
470, 0.000
471, 0.500
472, 0.000
473, 0.000
474, 1.000
475, 0.167
476, 0.500
477, 0.000
478, 1.000
479, 0.000
480, 0.000
481, 0.000
482, 1.000
483, 1.000
484, 1.000
485, 1.000
486, 1.000
487, 1.000
488, 1.000
489, 0.143
490, 1.000
491, 1.000
492, 1.000
493, 1.000
494, 1.000
495, 0.000
496, 1.000
497, 1.000
498, 1.000
499, 1.000
500, 1.000
501, 0.500
502, 1.000
503, 1.000
504, 0.500
505, 1.000
506, 0.000
507, 1.000
508, 1.000
509, 0.000
510, 1.000
511, 0.500
512, 1.000
513, 0.143
514, 0.000
515, 0.000
516, 0.100
517, 0.143
518, 0.000
519, 1.000
520, 1.000
521, 0.000
522, 1.000
523, 1.000
524, 1.000
525, 1.000
526, 1.000
527, 1.000
528, 1.000
529, 1.000
530, 1.000
531, 1.000
532, 1.000
533, 1.000
534, 0.000
535, 0.000
536, 0.000
537, 1.000
538, 0.000
539, 0.000
540, 0.000
541, 1.000
542, 1.000
543, 0.000
544, 0.500
545, 0.000
546, 0.000
547, 1.000
548, 0.000
549, 0.111
550, 0.167
551, 0.000
552, 0.000
553, 0.000
554, 0.000
555, 0.250
556, 0.000
557, 0.000
558, 0.111
559, 0.000
560, 0.000
561, 0.200
562, 1.000
563, 0.000
564, 0.500
565, 0.125
566, 0.500
567, 0.333
568, 0.500
569, 0.500
570, 0.500
571, 0.500
572, 0.500
573, 0.333
574, 0.500
575, 1.000
576, 0.250
577, 0.333
578, 0.500
579, 0.333
580, 0.333
581, 0.500
582, 1.000
583, 1.000
584, 1.000
585, 0.333
586, 1.000
587, 1.000
588, 0.000
589, 1.000
590, 1.000
591, 1.000
592, 0.000
593, 0.500
594, 0.500
595, 0.000
596, 0.000
597, 0.333
598, 1.000
599, 1.000
600, 0.500
601, 0.111
602, 1.000
603, 0.111
604, 0.000
605, 0.111
606, 0.333
607, 0.000
608, 0.125
609, 1.000
610, 0.125
611, 0.167
612, 0.167
613, 0.167
614, 0.000
615, 0.143
616, 1.000
617, 0.000
618, 0.000
619, 0.500
620, 0.500
621, 1.000
622, 1.000
623, 0.000
624, 0.500
625, 0.143
626, 0.000
627, 0.000
628, 0.333
629, 0.000
630, 1.000
631, 1.000
632, 0.000
633, 0.000
634, 0.000
635, 0.000
636, 0.000
637, 1.000
638, 1.000
639, 1.000
640, 1.000
641, 0.000
642, 1.000
643, 1.000
644, 1.000
645, 1.000
646, 1.000
647, 1.000
648, 0.000
649, 1.000
650, 1.000
651, 0.000
652, 0.000
653, 1.000
654, 1.000
655, 1.000
656, 1.000
657, 1.000
658, 1.000
659, 1.000
660, 1.000
661, 0.000
662, 1.000
663, 1.000
664, 0.000
665, 1.000
666, 1.000
667, 0.000
668, 1.000
669, 1.000
670, 1.000
671, 0.250
672, 1.000
673, 1.000
674, 1.000
675, 1.000
676, 1.000
677, 1.000
678, 1.000
679, 1.000
680, 1.000
681, 1.000
682, 1.000
683, 1.000
684, 1.000
685, 1.000
686, 1.000
687, 1.000
688, 1.000
689, 0.000
690, 1.000
691, 1.000
692, 1.000
693, 1.000
694, 0.250
695, 1.000
696, 1.000
697, 1.000
698, 1.000
699, 1.000
700, 1.000
701, 1.000
702, 0.333
703, 1.000
704, 1.000
705, 1.000
706, 1.000
707, 1.000
708, 0.000
709, 1.000
710, 1.000
711, 1.000
712, 1.000
713, 1.000
714, 0.000
715, 1.000
716, 0.000
717, 1.000
718, 0.500
